Country,Biome,Site,Latitude,Longitude,Altitude,Atm_Press,Responsible,Species,Family,Genus,PFT_LPJ,PFT_Sheffield,PFT_JULES,PFT_Wright,PFT_JULES2,PFT_Exeter,H.sphere,Temp.class,Aa_sat,gs_sat,Ci_sat,LfT_sat,Rdark_a,LfT_Rdark,Am_sat,Rdark_m,FixedQ10,varQ10,Rdarka_25C_FixedQ10,Rdarkm_25C_FixedQ10,Rdarka_TWQ.T_FixedQ10,Rdarka_25C_varQ10,Rdarkm_25C_varQ10,Rdarka_MeasMonth.T_varQ10,Rdarkm_MeasMonth.T_varQ10,Rdarka_TWQ.T_varQ10,Rdarkm_TWQ.T_varQ10,Leaf_Nm,Leaf_Pm,Leaf_Na,Leaf_Pa,LMA,Vcmax_a_LfT,Vcmax_a_25,Vcmax_m_25,Rdarka:Vcmax_LfT,Rdarka:Vcmax_25C_varQ10,MAT,MeanT_WarmestQtr,Annual_Precip,Precip_Warmest_Qtr,Measuring_Month_MeanT,ai_yr,pet_yr
New Zealand,TeRF,FJG-3,-43.4,170.17,234,98.55,Atkin_Griffin,Weinmannia racemosa,Cunoniaceae,Weinmannia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,4.70,0.068,269.4,20.544,1.19,20.544,20.2,5.1,2.23,2.11,1.69,7.3,0.82,1.66,7.1,0.77,3.3,0.84,3.6,10.07,0.78,2.28,184,229.7,21.1,31.5,137.8,0.07,0.06,11.4,16,3980,1004,14.8,4.477,889
New Zealand,TeRF,FJG-4,-43.38,170.18,134,99.73,Atkin_Griffin,Griselinia littoralis,Griseliniaceae,Griselinia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,3.70,0.030,200.8,20.37,1.19,20.37,17.3,5.2,2.23,2.114,1.76,7.5,0.87,1.72,7.4,0.80,3.5,0.89,3.8,9.71,0.86,1.59,135,161.6,23.8,36.7,142.2,0.05,0.05,11.6,16.2,4017,1017,14.9,4.468,899
New Zealand,TeRF,FJG-4,-43.38,170.18,134,99.73,Atkin_Griffin,Metrosideros umbellata,Myrtaceae,Metrosideros,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,7.80,0.091,235.5,20.2525,1.05,20.2525,33.6,4.4,2.23,2.115,1.55,6.5,0.77,1.52,6.3,0.71,3.0,0.78,3.3,9.03,0.72,2.16,170,238.4,33.7,51.7,221.5,0.04,0.04,11.6,16.2,4017,1017,14.9,4.468,899
New Zealand,TeRF,FJG-4,-43.38,170.18,134,99.73,Atkin_Griffin,Weinmannia racemosa,Cunoniaceae,Weinmannia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,2.17,0.027,255.5,20.4325,0.72,20.4325,9.9,3.2,2.23,2.1125,1.05,4.6,0.52,1.02,4.5,0.48,2.1,0.53,2.3,10.00,0.71,2.31,163,224.3,10.9,16.3,73.5,0.07,0.07,11.6,16.2,4017,1017,14.9,4.468,899
New Zealand,TeRF,FJG-5,-43.31,170.17,143,99.62,Atkin_Griffin,Dacrydium cuppressinum,Podocarpaceae,Dacrydium,TmpEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,South,3rd~15to20,0.64,0.019,338.0,20.39,0.47,20.39,3.0,2.3,2.23,2.11,0.68,3.3,0.33,0.66,3.2,0.30,1.5,0.33,1.6,9.42,0.43,1.97,90,209.1,3.2,4.9,23.4,0.15,0.14,11.2,15.8,4277,1076,14.5,4.816,888
New Zealand,TeRF,FJG-5,-43.31,170.17,143,99.62,Atkin_Griffin,Metrosideros umbellata,Myrtaceae,Metrosideros,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,1.98,0.027,292.9,20.22666667,0.65,20.22666667,9.0,3.0,2.23,2.116666667,0.96,4.4,0.46,0.94,4.3,0.43,2.0,0.47,2.2,7.76,0.37,1.65,80,212.1,9.6,14.9,68.3,0.12,0.11,11.2,15.8,4277,1076,14.5,4.816,888
New Zealand,TeRF,FJG-5,-43.31,170.17,143,99.62,Atkin_Griffin,Weinmannia racemosa,Cunoniaceae,Weinmannia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,0.35,0.005,271.3,20.015,0.28,20.015,1.9,1.6,2.23,2.12,0.42,2.3,0.20,0.41,2.3,0.18,1.0,0.21,1.1,7.34,0.32,1.31,60,177.1,2.2,3.4,18.6,0.13,0.13,11.2,15.8,4277,1076,14.5,4.816,888
New Zealand,TeRF,FJG-6,-43.25,170.18,68,100.51,Atkin_Griffin,Dacrydium cuppressinum,Podocarpaceae,Dacrydium,TmpEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,South,3rd~15to20,2.13,0.055,326.2,19.476,1.11,19.476,4.4,2.3,2.23,2.132,1.73,3.6,0.86,1.69,3.5,0.80,1.7,0.87,1.8,7.67,0.29,3.69,142,479.6,9.4,15.4,31.8,0.11,0.10,11.9,16.3,4331,1103,15.2,4.866,890
New Zealand,TeRF,FJG-6,-43.25,170.18,68,100.51,Atkin_Griffin,Metrosideros umbellata,Myrtaceae,Metrosideros,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,5.51,0.075,269.8,19.484,1.37,19.484,22.6,5.7,2.23,2.134,2.16,8.9,1.07,2.11,8.7,1.00,4.1,1.09,4.5,7.47,0.35,1.84,86,247.5,23.4,38.9,160.1,0.06,0.06,11.9,16.3,4331,1103,15.2,4.866,890
New Zealand,TeRF,FJG-6,-43.25,170.18,68,100.51,Atkin_Griffin,Weinmannia racemosa,Cunoniaceae,Weinmannia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,1.40,0.021,282.8,19.285,0.63,19.285,6.5,2.8,2.23,2.135,1.01,4.4,0.50,0.99,4.3,0.47,2.0,0.51,2.2,8.55,0.33,1.90,75,220.4,6.7,11.1,51.0,0.10,0.09,11.9,16.3,4331,1103,15.2,4.866,890
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,Acacia aneura,Fabaceae,Acacia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,5th~25plus,7.68,0.064,191.4,28.62444444,2.21,28.62444444,26.9,7.6,2.23,1.936666667,1.67,5.8,1.75,1.75,6.1,1.17,4.0,1.82,6.3,20.00,0.62,5.87,182,293.0,73.6,56.1,199.7,0.03,0.03,18.5,25.6,273,64,18.9,0.177,1544
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,Acacia hemiteles,Fabaceae,Acacia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,5th~25plus,6.77,0.051,167.4,28.63,1.15,28.63,48.7,8.4,2.23,1.9375,0.86,6.3,0.91,0.91,6.6,0.61,4.4,0.95,6.9,27.98,0.84,3.92,115,141.5,72.7,52.7,378.6,0.02,0.02,18.5,25.6,273,64,18.9,0.177,1544
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,Atriplex nummularia,Chenopodiaceae,Atriplex,TmpEvBl,EvBl,S,AnEvBlSC4,EvS,SEv,South,5th~25plus,7.55,0.058,142.2,29.888,2.48,29.888,56.7,18.7,2.23,1.91,1.70,12.8,1.78,1.83,13.8,1.23,9.3,1.90,14.4,24.56,0.71,3.26,93,133.6,NA,NA,NA,NA,NA,18.5,25.6,273,64,18.9,0.177,1544
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,Eremophila scoparia,Scrophulariaceae,Eremophila,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,5th~25plus,7.05,0.084,235.1,27.984,2.80,27.984,26.1,10.3,2.23,1.952,2.25,8.3,2.36,2.34,8.6,1.55,5.7,2.43,9.0,15.69,1.10,4.33,302,276.3,60.4,45.9,170.1,0.05,0.06,18.5,25.6,273,64,18.9,0.177,1544
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,Eucalyptus clelandii,Myrtaceae,Eucalyptus,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,5th~25plus,7.45,0.091,219.0,29.28,3.08,29.28,25.3,10.0,2.23,1.924,2.16,7.0,2.27,2.32,7.5,1.56,5.1,2.41,7.8,13.57,0.47,4.11,142,305.7,84.7,56.6,191.3,0.05,0.06,18.5,25.6,273,64,18.9,0.177,1544
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,Eucalyptus salmonophloia,Myrtaceae,Eucalyptus,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,5th~25plus,5.38,0.057,222.8,28.858,2.46,28.858,23.0,10.4,2.23,1.931,1.85,7.9,1.95,1.95,8.3,1.30,5.5,2.03,8.6,13.71,0.49,3.24,115,235.9,54.9,38.1,161.1,0.06,0.07,18.5,25.6,273,64,18.9,0.177,1544
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,Eucalyptus salubris ,Myrtaceae,Eucalyptus,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,5th~25plus,5.73,0.071,245.2,27.407,2.67,27.407,22.7,10.9,2.23,1.963,2.19,9.0,2.30,2.27,9.3,1.50,6.1,2.36,9.6,13.29,0.59,3.25,143,246.3,51.5,40.1,159.3,0.07,0.07,18.5,25.6,273,64,18.9,0.177,1544
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,Eucalyptus transcontinentalis,Myrtaceae,Eucalyptus,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,5th~25plus,5.26,0.044,165.8,29.656,2.52,29.656,18.8,9.2,2.23,1.914,1.69,6.1,1.77,1.83,6.6,1.23,4.5,1.90,6.9,14.48,0.54,4.10,149,282.2,76.4,49.7,177.7,0.04,0.04,18.5,25.6,273,64,18.9,0.177,1544
Australia-WA,TeW,GWW-TERN,-30.264,120.6917,459,95.96,Bloomfield,MaireaNAsedifolia,Amaranthaceae,Maireana,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,5th~25plus,8.23,0.080,198.8,30.691,2.19,30.691,65.0,17.9,2.23,1.892,1.38,11.0,1.45,1.53,12.3,1.03,8.3,1.59,12.8,41.77,0.65,5.29,80,126.9,89.1,53.7,428.2,0.03,0.03,18.5,25.6,273,64,18.9,0.177,1544
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Alchorneopsis floribunda,Euphorbiaceae,Alchorneopsis,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,7.91,0.152,291.0,31.87,2.15,31.06,107.8,29.4,2.23,1.88,1.32,18.1,1.46,1.47,20.0,1.59,21.7,1.58,21.6,23.35,0.95,1.71,70,73.3,59.1,32.8,447.0,0.04,0.04,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Ambelania acida,Apocynaceae,Ambelania,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,7.35,0.114,271.5,31.85,0.87,31.67,58.0,6.9,2.23,1.87,0.51,4.0,0.56,0.58,4.6,0.62,4.9,0.62,4.9,9.75,0.22,1.24,30,126.7,51.8,28.8,227.3,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Apeiba glabra,Malvaceae,Apeiba,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,8.75,0.222,300.8,31.28,1.23,31.695,121.1,18.2,2.23,1.875,0.72,10.6,0.79,0.81,11.9,0.88,13.0,0.87,12.9,17.06,1.18,1.22,75,70.9,54.2,31.9,446.6,0.02,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Carapa procera,Meliaceae,Carapa,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,7.59,0.112,263.9,30.97,1.17,30.615,66.7,10.3,2.23,1.895,0.75,6.6,0.82,0.82,7.2,0.89,7.8,0.88,7.7,13.05,0.52,1.49,55,113.3,54.0,32.4,284.3,0.02,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Caryocar microcarpum,Caryocaraceae,Caryocar,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,NA,NA,NA,NA,2.02,31.35,NA,22.8,2.23,1.88,1.21,13.7,1.33,1.35,15.3,1.47,16.6,1.46,16.5,16.62,0.54,1.47,50,88.3,NA,NA,NA,NA,NA,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Chaetocarpus schomburgkianus,Euphorbiaceae,Chaetocarpus,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,8.14,0.140,281.8,29.51,1.42,29.79,38.8,6.7,2.23,1.91,0.96,4.6,1.06,1.04,4.9,1.13,5.4,1.12,5.3,10.12,0.22,2.13,50,210.0,50.8,34.4,163.8,0.03,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Cupania scrobiculata,Sapindaceae,Cupania,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,2.07,0.041,298.6,31.64,1.20,31.89,19.5,11.3,2.23,1.87,0.69,6.5,0.76,0.78,7.3,0.85,7.9,0.84,7.9,13.96,0.39,1.49,40,106.7,18.5,10.5,98.1,0.07,0.07,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Dicorynia guianensis,Fabaceae,Dicorynia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,5.22,0.055,223.2,32.16,1.07,31.76,66.7,13.7,2.23,1.87,0.62,8.0,0.69,0.70,9.0,0.76,9.7,0.76,9.7,16.77,0.91,1.31,70,78.3,50.0,27.1,345.7,0.02,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Duroia longiflora,Rubiaceae,Duroia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,7.12,0.183,310.0,30.665,1.42,30.73,50.4,10.1,2.23,1.89,0.90,6.3,0.99,0.98,7.0,1.07,7.6,1.06,7.5,9.86,0.47,1.40,70,141.7,44.6,27.2,192.9,0.03,0.04,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Eperua falcata,Fabaceae,Eperua,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,4.97,0.092,289.7,30.885,0.67,30.848,67.5,7.8,2.23,1.888,0.41,4.9,0.45,0.46,5.4,0.50,5.8,0.49,5.8,15.88,0.60,1.35,52,85.3,32.2,19.4,258.6,0.02,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Eperua grandiflora,Fabaceae,Eperua,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,5.55,0.095,285.3,30.76,0.69,31.07,51.2,6.4,2.23,1.88,0.43,3.9,0.47,0.47,4.4,0.51,4.7,0.51,4.7,10.07,0.30,1.09,30,108.3,35.1,21.4,197.5,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Eschweilera coriacea,Lecythidaceae,Eschweilera,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,8.08,0.118,259.8,30.70666667,0.86,29.85666667,75.6,7.7,2.23,1.913333333,0.56,5.1,0.61,0.61,5.5,0.66,6.0,0.66,6.0,14.04,0.58,1.50,63,105.5,55.6,33.6,315.0,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Eschweilera parviflora,Lecythidaceae,Eschweilera,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.46,0.102,268.6,32.015,0.85,32.08,47.3,6.2,2.23,1.86,0.48,3.5,0.53,0.55,4.0,0.60,4.3,0.59,4.3,15.64,0.42,2.14,60,136.7,47.0,25.8,188.5,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Eschweilera sagotiana,Lecythidaceae,Eschweilera,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,9.19,0.152,273.4,30.31,0.97,30.4,80.0,8.4,2.23,1.9,0.63,5.5,0.69,0.69,6.0,0.75,6.5,0.74,6.4,14.72,0.68,1.69,80,115.0,58.2,36.8,320.1,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Goupia glabra,Goupiaceae,Goupia,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,7.45,0.109,263.3,30.51,0.86,29.65,70.9,8.2,2.23,1.92,0.60,5.7,0.66,0.64,6.1,0.70,6.6,0.69,6.6,13.98,0.44,1.47,50,105.0,50.0,31.1,296.2,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Guatteria schomburgkiana,Annonaceae,Guatteria,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,10.18,0.169,272.3,32.82,1.51,32.82,71.0,10.6,2.23,1.85,0.81,5.6,0.89,0.94,6.5,1.02,7.1,1.01,7.0,14.12,0.38,2.02,50,143.3,77.7,39.8,278.0,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Hirtella glandulosa,Chrysobalanaceae,Hirtella,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.78,0.147,293.7,30.98,1.19,31.195,76.0,13.3,2.23,1.885,0.72,8.1,0.80,0.81,9.0,0.87,9.8,0.87,9.7,13.33,0.54,1.19,45,89.2,45.0,26.6,298.2,0.03,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Iryanthera hostmannii,Myristicaceae,Iryanthera,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,5.12,0.066,247.9,31.105,0.83,31.36,38.7,6.1,2.23,1.875,0.49,3.6,0.54,0.55,4.0,0.59,4.4,0.59,4.4,13.09,0.36,1.74,50,134.2,40.1,23.5,176.2,0.02,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Iryanthera sagotiana,Myristicaceae,Iryanthera,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,4.41,0.044,216.4,31.62,1.22,32.04,38.9,10.8,2.23,1.86,0.69,6.1,0.76,0.79,7.0,0.85,7.5,0.85,7.5,14.68,0.58,1.66,70,113.3,44.8,25.4,223.8,0.03,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Jacaranda copaia,Bignoniaceae,Jacaranda,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,8.70,0.119,249.6,31.41,1.10,31.01,51.7,6.6,2.23,1.89,0.68,4.1,0.75,0.75,4.5,0.82,4.9,0.81,4.8,15.92,0.51,2.68,90,168.3,65.7,37.9,225.1,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Laetia procera,Salicaceae,Laetia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,12.55,0.227,274.8,30.19,1.79,30.135,84.5,12.3,2.23,1.905,1.19,8.1,1.30,1.29,8.8,1.40,9.5,1.39,9.5,16.68,0.48,2.51,70,150.9,81.3,52.2,348.3,0.02,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Lecythis persistens,Lecythidaceae,Lecythis,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.09,0.089,263.6,30.5925,1.07,30.675,52.4,8.7,2.23,1.895,0.67,5.5,0.74,0.74,6.0,0.80,6.5,0.80,6.5,15.05,0.45,1.76,53,117.9,45.5,27.7,232.3,0.02,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Licania alba,Chrysobalanaceae,Licania,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,9.39,0.227,306.6,30.9,0.98,31.15,69.6,7.2,2.23,1.88,0.60,4.4,0.66,0.66,4.9,0.72,5.3,0.71,5.3,11.95,0.28,1.61,40,135.0,54.8,33.0,244.4,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Licania membranacea,Chrysobalanaceae,Licania,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.72,0.122,285.5,30.245,0.88,30.915,45.4,6.0,2.23,1.89,0.55,3.7,0.60,0.61,4.1,0.66,4.4,0.66,4.4,12.60,0.68,1.87,100,148.4,41.3,26.4,178.8,0.02,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Macoubea guianensis,Apocynaceae,Macoubea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.14,0.072,237.1,31.46,0.63,31.29,105.2,10.9,2.23,1.88,0.38,6.6,0.42,0.43,7.3,0.46,7.9,0.46,7.9,15.66,0.58,0.91,30,58.3,48.1,27.6,473.8,0.01,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Ormosia coutinhoi,Fabaceae,Ormosia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,9.30,0.178,267.3,30.77333333,1.20,30.93666667,58.3,7.1,2.23,1.886666667,0.74,4.4,0.81,0.81,4.8,0.88,5.3,0.88,5.2,14.42,0.81,2.34,137,162.2,65.7,40.0,243.8,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Poraqueiba guianensis,Icacinaceae,Poraqueiba,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.01,0.090,269.8,30.92,0.74,30.51,52.3,6.4,2.23,1.9,0.47,4.1,0.52,0.52,4.5,0.56,4.9,0.56,4.9,11.63,0.48,1.34,50,115.0,40.5,24.4,211.8,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Posoqueria latifolia,Rubiaceae,Posoqueria,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,9.74,0.242,304.2,31.195,0.92,31.26,74.8,7.1,2.23,1.88,0.56,4.3,0.62,0.62,4.8,0.67,5.2,0.67,5.1,11.33,0.33,1.47,40,130.0,57.5,33.9,260.3,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Pradosia cochlearia,Sapotaceae,Pradosia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,4.72,0.045,213.6,31.49,0.44,31.54,31.2,2.9,2.23,1.87,0.26,1.7,0.28,0.29,1.9,0.31,2.1,0.31,2.1,11.43,0.23,1.73,40,151.7,41.3,23.7,156.0,0.01,0.01,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Protium opacum,Burseraceae,Protium,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,7.72,0.102,253.9,31.15,1.16,30.915,68.0,9.6,2.23,1.89,0.70,5.8,0.77,0.78,6.5,0.85,7.1,0.84,7.0,12.89,0.54,1.43,60,110.9,60.1,34.7,300.3,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Recordoxylon speciosum,Fabaceae,Recordoxylon,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,7.15,0.080,230.3,32.02333333,1.94,32.1,80.0,20.1,2.23,1.86,1.10,11.3,1.21,1.25,12.9,1.35,14.0,1.34,13.9,23.43,0.69,2.14,63,90.6,71.3,38.8,420.4,0.03,0.03,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,Simarouba amara repeat,Simaroubaceae,Simarouba,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,15.56,0.434,305.9,30.19,1.13,29.95,172.9,12.5,2.23,1.91,0.76,8.4,0.83,0.82,9.1,0.89,9.9,0.88,9.8,16.85,0.67,1.52,60,90.0,85.0,54.3,603.7,0.01,0.02,25.8,26.2,2824,222,26.3,1.881,1501
French Guiana,TrRF_lw,Gx-7,5.27,-52.92,21,101.07,Zaragoza-Castells,SiparuNAdecipiens,Siparunaceae,Siparuna,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,4.74,0.151,328.2,30.47,0.37,30.25,83.6,6.6,2.23,1.9,0.24,4.3,0.27,0.27,4.7,0.29,5.1,0.29,5.1,19.39,0.79,1.10,40,56.7,24.7,15.4,272.4,0.02,0.02,25.8,26.2,2824,222,26.3,1.881,1501
