Country,Biome,Site,Latitude,Longitude,Altitude,Atm_Press,Responsible,Species,Family,Genus,PFT_LPJ,PFT_Sheffield,PFT_JULES,PFT_Wright,PFT_JULES2,PFT_Exeter,H.sphere,Temp.class,Aa_sat,gs_sat,Ci_sat,LfT_sat,Rdark_a,LfT_Rdark,Am_sat,Rdark_m,FixedQ10,varQ10,Rdarka_25C_FixedQ10,Rdarkm_25C_FixedQ10,Rdarka_TWQ.T_FixedQ10,Rdarka_25C_varQ10,Rdarkm_25C_varQ10,Rdarka_MeasMonth.T_varQ10,Rdarkm_MeasMonth.T_varQ10,Rdarka_TWQ.T_varQ10,Rdarkm_TWQ.T_varQ10,Leaf_Nm,Leaf_Pm,Leaf_Na,Leaf_Pa,LMA,Vcmax_a_LfT,Vcmax_a_25,Vcmax_m_25,Rdarka:Vcmax_LfT,Rdarka:Vcmax_25C_varQ10,MAT,MeanT_WarmestQtr,Annual_Precip,Precip_Warmest_Qtr,Measuring_Month_MeanT,ai_yr,pet_yr
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Cespedesia spathulata,Ochnaceae,Cespedesia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,13.10,0.833,349.3,27.6,1.91,27.97,108.7,15.8,2.23,1.95,1.50,12.5,1.73,1.56,13.0,1.73,14.3,1.76,14.6,12.83,0.66,1.55,80,120.5,59.2,47.2,391.8,0.03,0.03,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Chaunochiton kappleri,Olacaceae,Chaunochiton,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,6.41,0.519,359.4,27.7,2.79,27.91,50.3,21.9,2.23,1.95,2.21,17.4,2.55,2.30,18.1,2.54,20.0,2.59,20.4,18.00,1.06,2.29,130,127.4,35.6,28.2,221.1,0.08,0.08,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Dipteryx micrantha,Fabaceae,Dipteryx,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,10.13,0.357,332.0,27.87,1.37,27.99,65.0,8.8,2.23,1.95,1.08,6.9,1.24,1.12,7.2,1.24,8.0,1.26,8.1,12.90,0.61,2.01,100,155.9,48.0,37.4,240.1,0.03,0.03,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Guatteria schomburgkiana,Annonaceae,Guatteria,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,1.48,0.065,359.3,27.83,1.96,28.46,12.4,16.5,2.23,1.94,1.49,12.5,1.72,1.56,13.1,1.73,14.5,1.76,14.8,21.48,0.50,2.56,60,119.3,13.4,10.5,88.0,0.15,0.15,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Hevea pauciflora,Euphorbiaceae,Hevea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,3.84,0.148,336.7,27.665,2.01,27.84,33.4,17.5,2.23,1.95,1.61,14.0,1.85,1.67,14.5,1.84,16.0,1.88,16.3,19.67,1.34,2.30,155,115.7,23.9,18.9,164.5,0.08,0.09,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Inga striata,Fabaceae,Inga,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,4.93,0.791,371.3,27.51,0.56,27.78,74.3,8.4,2.23,1.96,0.45,6.8,0.52,0.46,7.0,0.51,7.7,0.52,7.9,37.24,1.16,2.47,80,66.4,20.5,16.5,248.1,0.03,0.03,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Iryanthera lancifolia,Myristicaceae,Iryanthera,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,8.63,0.560,344.0,29.41,1.98,27.93,54.5,12.5,2.23,1.95,1.57,9.9,1.81,1.63,10.3,1.80,11.4,1.84,11.6,12.05,0.56,1.91,90,158.2,46.4,31.7,200.4,0.04,0.05,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Licania arachnoidea,Chrysobalanaceae,Licania,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,1.06,0.066,368.6,27.82,1.07,27.97,NA,NA,2.23,1.95,0.84,NA,0.97,0.87,NA,0.97,NA,0.98,NA,11.70,0.39,NA,NA,NA,8.1,6.4,NA,0.13,0.14,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Minquartia guianensis,Olacaceae,Minquartia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,8.39,0.420,347.1,27.85,1.22,28,60.3,8.7,2.23,1.95,0.96,6.9,1.11,1.00,7.2,1.10,7.9,1.12,8.1,13.70,0.80,1.91,110,139.2,38.6,30.1,216.3,0.03,0.03,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Pourouma guianensis subsp guianensis,Urticaceae,Pourouma,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,16.03,0.865,339.2,27.67,1.14,27.85,142.3,10.1,2.23,1.95,0.91,8.1,1.05,0.94,8.4,1.04,9.3,1.06,9.4,15.09,0.40,1.70,50,112.6,69.7,55.3,490.6,0.02,0.02,26.3,26.8,2769,711,26.5,1.638,1690
