,Vcmax_m_25,Rdarka_25C_FixedQ10,Predicted Link,Species,Source Scientific,Destination Scientific
75,954.2,1.11,1,Quercus rubra,Lupinus perennis,Stephanomeria wrightii
76,1015.2,1.05,1,Rhamnus cathartica,Lupinus perennis,Ulva clathratioides
77,707.2,1.35,1,Acer rubrum,Lupinus perennis,Ulva pertusa
78,369.6,0.84,1,Acer saccharum,Lupinus perennis,Ulva L.
79,1108.4,2.08,1,Betula papyrifera,Lupinus perennis,Claytonia perfoliata
80,1086.0,1.9,1,Populus tremuloides,Lupinus perennis,Claytonia perfoliata
81,992.4,1.48,1,Quercus macrocarpa,Lupinus perennis,Claytonia perfoliata
82,860.9,1.35,1,Quercus rubra,Lupinus perennis,Claytonia perfoliata
83,1128.8,0.93,1,Rhamnus cathartica,Lupinus perennis,Dudleya caespitosa
84,400.0,0.53,1,Abies balsamea,Lupinus perennis,Ixeris stolonifera
85,483.5,0.72,1,Acer rubrum,Lupinus perennis,Lactuca biennis
86,588.1,0.53,1,Acer saccharum,Lupinus perennis,Lactuca canadensis
87,972.8,0.92,1,Betula papyrifera,Lupinus perennis,Lactuca L.
88,370.4,0.37,1,Picea glauca,Lupinus perennis,Lactuca floridana
89,360.3,0.78,1,Pinus balsamea,Lupinus perennis,Lactuca floridana
90,291.9,0.4,1,Pinus strobus,Lupinus perennis,Lactuca floridana
91,794.2,1.14,1,Populus tremuloides,Lupinus perennis,Lactuca graminifolia
92,952.0,0.62,1,Quercus macrocarpa,Lupinus perennis,Lactuca graminifolia
93,844.2,0.73,1,Quercus rubra,Lupinus perennis,Lactuca graminifolia
94,1042.2,0.86,1,Rhamnus cathartica,Lupinus perennis,Lactuca hirsuta
95,529.9,0.54,1,Abies balsamea,Lupinus perennis,Lactuca hirsuta
96,603.7,1.04,1,Acer rubrum,Lupinus perennis,Lactuca hirsuta
97,420.6,0.7,1,Acer saccharum,Lupinus perennis,Lactuca hirsuta
